period,stock_code,start_date,end_date
2021-09-29,BBNI,2021-09-29,2021-11-01
2021-09-29,BBRI,2021-09-29,2021-11-01
2021-09-29,BBTN,2021-09-29,2021-11-01
2021-09-29,BMRI,2021-09-29,2021-11-01
2021-09-29,BRPT,2021-09-29,2021-11-01
2021-09-29,BSDE,2021-09-29,2021-11-01
2021-09-29,BUKA,2021-09-29,2021-11-01
2021-09-29,CPIN,2021-09-29,2021-11-01
2021-09-29,ERAA,2021-09-29,2021-11-01
2021-09-29,EXCL,2021-09-29,2021-11-01
2021-09-29,GGRM,2021-09-29,2021-11-01
2021-09-29,HMSP,2021-09-29,2021-11-01
2021-09-29,ICBP,2021-09-29,2021-11-01
2021-09-29,INCO,2021-09-29,2021-11-01
2021-09-29,INDF,2021-09-29,2021-11-01
2021-09-29,INKP,2021-09-29,2021-11-01
2021-09-29,INTP,2021-09-29,2021-11-01
2021-09-29,ITMG,2021-09-29,2021-11-01
2021-09-29,JPFA,2021-09-29,2021-11-01
2021-09-29,JSMR,2021-09-29,2021-11-01
2021-09-29,KLBF,2021-09-29,2021-11-01
2021-09-29,MDKA,2021-09-29,2021-11-01
2021-09-29,MEDC,2021-09-29,2021-11-01
2021-09-29,MIKA,2021-09-29,2021-11-01
2021-09-29,MNCN,2021-09-29,2021-11-01
2021-09-29,PGAS,2021-09-29,2021-11-01
2021-09-29,PTBA,2021-09-29,2021-11-01
2021-09-29,PTPP,2021-09-29,2021-11-01
2021-09-29,PWON,2021-09-29,2021-11-01
2021-09-29,SMGR,2021-09-29,2021-11-01
2021-09-29,TBIG,2021-09-29,2021-11-01
2021-09-29,TINS,2021-09-29,2021-11-01
2021-09-29,TKIM,2021-09-29,2021-11-01
2021-09-29,TLKM,2021-09-29,2021-11-01
2021-09-29,TOWR,2021-09-29,2021-11-01
2021-09-29,TPIA,2021-09-29,2021-11-01
2021-09-29,UNTR,2021-09-29,2021-11-01
2021-09-29,UNVR,2021-09-29,2021-11-01
2021-09-29,WIKA,2021-09-29,2021-11-01
2021-11-01,ACES,2021-11-01,2022-02-02
2021-11-01,ADRO,2021-11-01,2022-02-02
2021-11-01,AKRA,2021-11-01,2022-02-02
2021-11-01,ANTM,2021-11-01,2022-02-02
2021-11-01,ASII,2021-11-01,2022-02-02
2021-11-01,BBCA,2021-11-01,2022-02-02
2021-11-01,BBNI,2021-11-01,2022-02-02
2021-11-01,BBRI,2021-11-01,2022-02-02
2021-11-01,BBTN,2021-11-01,2022-02-02
2021-11-01,BMRI,2021-11-01,2022-02-02
2021-11-01,BRPT,2021-11-01,2022-02-02
2021-11-01,BSDE,2021-11-01,2022-02-02
2021-11-01,BUKA,2021-11-01,2022-02-02
2021-11-01,CPIN,2021-11-01,2022-02-02
2021-11-01,ERAA,2021-11-01,2022-02-02
2021-11-01,EXCL,2021-11-01,2022-02-02
2021-11-01,GGRM,2021-11-01,2022-02-02
2021-11-01,HMSP,2021-11-01,2022-02-02
2021-11-01,ICBP,2021-11-01,2022-02-02
2021-11-01,INCO,2021-11-01,2022-02-02
2021-11-01,INDF,2021-11-01,2022-02-02
2021-11-01,INKP,2021-11-01,2022-02-02
2021-11-01,INTP,2021-11-01,2022-02-02
2021-11-01,ITMG,2021-11-01,2022-02-02
2021-11-01,JPFA,2021-11-01,2022-02-02
2021-11-01,JSMR,2021-11-01,2022-02-02
2021-11-01,KLBF,2021-11-01,2022-02-02
2021-11-01,MDKA,2021-11-01,2022-02-02
2021-11-01,MEDC,2021-11-01,2022-02-02
2021-11-01,MIKA,2021-11-01,2022-02-02
2021-11-01,MNCN,2021-11-01,2022-02-02
2021-11-01,PGAS,2021-11-01,2022-02-02
2021-11-01,PTBA,2021-11-01,2022-02-02
2021-11-01,PTPP,2021-11-01,2022-02-02
2021-11-01,PWON,2021-11-01,2022-02-02
2021-11-01,SMGR,2021-11-01,2022-02-02
2021-11-01,TBIG,2021-11-01,2022-02-02
2021-11-01,TINS,2021-11-01,2022-02-02
2021-11-01,TKIM,2021-11-01,2022-02-02
